DEAL,DEALTYPE,PROPTYPE_J,STATE,NTRAN,IRR,TVPI
2,0,3,8,-61600.0,-0.09856633599999999,1.039791702
2,0,3,8,-1364.4,-0.09856633599999999,1.039791702
2,0,3,8,452.37,-0.09856633599999999,1.039791702
2,0,3,8,-544.63,-0.09856633599999999,1.039791702
2,0,3,8,-37.98,-0.09856633599999999,1.039791702
2,0,3,8,-417.36,-0.09856633599999999,1.039791702
2,0,3,8,28.49,-0.09856633599999999,1.039791702
2,0,3,8,-63.31,-0.09856633599999999,1.039791702
2,0,3,8,-240.44,-0.09856633599999999,1.039791702
2,0,3,8,-41.52,-0.09856633599999999,1.039791702
2,0,3,8,61688.09,-0.09856633599999999,1.039791702
2,0,3,8,-142.82,-0.09856633599999999,1.039791702
2,0,3,8,-44.77,-0.09856633599999999,1.039791702
2,0,3,8,-3.24,-0.09856633599999999,1.039791702
2,0,3,8,-41.49,-0.09856633599999999,1.039791702
2,0,3,8,115.47,-0.09856633599999999,1.039791702
2,0,3,8,-292.08,-0.09856633599999999,1.039791702
2,0,3,8,-41.49,-0.09856633599999999,1.039791702
2,0,3,8,-13.57,-0.09856633599999999,1.039791702
2,0,3,8,-37.32,-0.09856633599999999,1.039791702
2,0,3,8,-16.73,-0.09856633599999999,1.039791702
2,0,3,8,-34.36,-0.09856633599999999,1.039791702
2,0,3,8,-160.39,-0.09856633599999999,1.039791702
2,0,3,8,-34.36,-0.09856633599999999,1.039791702
2,0,3,8,-365.82,-0.09856633599999999,1.039791702
2,0,3,8,-34.34,-0.09856633599999999,1.039791702
2,0,3,8,-72.3,-0.09856633599999999,1.039791702
2,0,3,8,-34.33,-0.09856633599999999,1.039791702
2,0,3,8,303.48,-0.09856633599999999,1.039791702
2,0,3,8,-34.32,-0.09856633599999999,1.039791702
2,0,3,8,-137.88,-0.09856633599999999,1.039791702
2,0,3,8,-31.08,-0.09856633599999999,1.039791702
2,0,3,8,-108.93,-0.09856633599999999,1.039791702
2,0,3,8,-31.07,-0.09856633599999999,1.039791702
2,0,3,8,33.22,-0.09856633599999999,1.039791702
2,0,3,8,-11.13,-0.09856633599999999,1.039791702
2,0,3,8,-29.89,-0.09856633599999999,1.039791702
2,0,3,8,-24.84,-0.09856633599999999,1.039791702
2,0,3,8,-161.28,-0.09856633599999999,1.039791702
2,0,3,8,-25.74,-0.09856633599999999,1.039791702
2,0,3,8,-52.58,-0.09856633599999999,1.039791702
2,0,3,8,-28.84,-0.09856633599999999,1.039791702
2,0,3,8,-14.98,-0.09856633599999999,1.039791702
2,0,3,8,-24.0,-0.09856633599999999,1.039791702
2,0,3,8,-23.85,-0.09856633599999999,1.039791702
2,0,3,8,99.69,-0.09856633599999999,1.039791702
2,0,3,8,-21.42,-0.09856633599999999,1.039791702
2,0,3,8,-171.33,-0.09856633599999999,1.039791702
2,0,3,8,-21.41,-0.09856633599999999,1.039791702
2,0,3,8,115.68,-0.09856633599999999,1.039791702
2,0,3,8,-0.19,-0.09856633599999999,1.039791702
2,0,3,8,-21.4,-0.09856633599999999,1.039791702
